iter	Passed	Remaining
0	19	9666
1	34	8468
2	49	8186
3	58	7210
4	67	6707
5	76	6318
6	86	6106
7	95	5892
8	104	5715
9	115	5639
10	123	5489
11	133	5418
12	141	5300
13	151	5270
14	160	5203
15	170	5161
16	180	5132
17	189	5061
18	198	5019
19	206	4967
20	216	4947
21	226	4914
22	236	4905
23	247	4906
24	256	4864
25	266	4856
26	275	4823
27	284	4788
28	293	4759
29	302	4732
30	311	4714
31	320	4693
32	330	4684
33	340	4665
34	354	4706
35	364	4699
36	373	4669
37	383	4660
38	392	4644
39	401	4621
40	410	4600
41	419	4579
42	430	4573
43	438	4544
44	448	4533
45	456	4508
46	466	4496
47	475	4478
48	485	4468
49	495	4458
50	503	4433
51	513	4426
52	522	4405
53	531	4393
54	540	4373
55	550	4367
56	561	4366
57	573	4371
58	585	4379
59	597	4384
60	608	4379
61	618	4370
62	630	4375
63	640	4364
64	650	4353
65	662	4359
66	671	4341
67	681	4326
68	690	4313
69	699	4295
70	709	4284
71	716	4261
72	727	4256
73	737	4248
74	749	4245
75	766	4278
76	778	4278
77	789	4270
78	799	4258
79	809	4250
80	819	4240
81	829	4230
82	840	4222
83	850	4211
84	860	4203
85	871	4194
86	880	4178
87	889	4164
88	897	4144
89	907	4134
90	916	4117
91	926	4106
92	934	4089
93	943	4076
94	953	4065
95	961	4048
96	970	4032
97	978	4015
98	988	4002
99	996	3985
100	1005	3973
101	1013	3956
102	1023	3943
103	1032	3929
104	1040	3912
105	1049	3899
106	1057	3883
107	1066	3869
108	1073	3851
109	1082	3837
110	1090	3820
111	1098	3806
112	1107	3791
113	1116	3780
114	1125	3766
115	1134	3753
116	1142	3739
117	1151	3727
118	1158	3710
119	1171	3711
120	1180	3697
121	1188	3683
122	1198	3672
123	1205	3656
124	1215	3647
125	1223	3631
126	1232	3620
127	1240	3606
128	1249	3594
129	1258	3583
130	1270	3577
131	1280	3569
132	1290	3559
133	1298	3547
134	1306	3532
135	1316	3522
136	1323	3508
137	1332	3496
138	1340	3482
139	1350	3472
140	1358	3459
141	1371	3456
142	1381	3448
143	1389	3435
144	1399	3425
145	1407	3411
146	1416	3401
147	1424	3388
148	1433	3377
149	1441	3364
150	1450	3352
151	1458	3340
152	1467	3328
153	1476	3317
154	1484	3304
155	1492	3292
156	1501	3279
157	1509	3268
158	1517	3254
159	1526	3243
160	1534	3231
161	1543	3219
162	1551	3207
163	1559	3195
164	1568	3183
165	1578	3176
166	1587	3166
167	1596	3155
168	1604	3143
169	1613	3132
170	1622	3120
171	1631	3111
172	1640	3100
173	1648	3089
174	1658	3080
175	1666	3067
176	1675	3057
177	1683	3045
178	1692	3035
179	1700	3023
180	1709	3013
181	1717	3001
182	1727	2992
183	1735	2980
184	1746	2972
185	1753	2960
186	1762	2950
187	1771	2940
188	1780	2929
189	1789	2919
190	1797	2907
191	1805	2897
192	1814	2885
193	1822	2874
194	1830	2862
195	1839	2852
196	1846	2840
197	1855	2830
198	1864	2819
199	1874	2811
200	1883	2802
201	1893	2793
202	1904	2785
203	1912	2775
204	1922	2767
205	1932	2757
206	1943	2751
207	1955	2744
208	1966	2737
209	1979	2733
210	1990	2726
211	1999	2716
212	2011	2710
213	2021	2701
214	2031	2692
215	2041	2684
216	2050	2673
217	2059	2664
218	2068	2653
219	2076	2643
220	2086	2634
221	2100	2630
222	2110	2622
223	2121	2613
224	2129	2602
225	2139	2593
226	2147	2582
227	2156	2572
228	2164	2561
229	2174	2552
230	2181	2540
231	2191	2531
232	2200	2521
233	2210	2512
234	2223	2506
235	2233	2498
236	2244	2490
237	2255	2482
238	2264	2472
239	2275	2464
240	2286	2457
241	2295	2447
242	2306	2439
243	2317	2431
244	2327	2422
245	2338	2414
246	2347	2404
247	2357	2395
248	2367	2386
249	2378	2378
250	2387	2368
251	2395	2357
252	2405	2348
253	2414	2338
254	2423	2328
255	2432	2318
256	2440	2307
257	2450	2298
258	2458	2287
259	2467	2278
260	2475	2267
261	2485	2258
262	2493	2247
263	2503	2237
264	2511	2226
265	2521	2218
266	2529	2207
267	2538	2197
268	2548	2188
269	2556	2177
270	2566	2168
271	2575	2158
272	2584	2149
273	2592	2138
274	2602	2129
275	2611	2119
276	2619	2108
277	2628	2099
278	2636	2088
279	2644	2077
280	2652	2067
281	2662	2057
282	2669	2047
283	2678	2037
284	2685	2026
285	2695	2016
286	2704	2006
287	2715	1998
288	2724	1988
289	2735	1981
290	2747	1973
291	2759	1965
292	2770	1957
293	2787	1953
294	2800	1945
295	2811	1937
296	2822	1929
297	2833	1920
298	2845	1912
299	2854	1903
300	2864	1893
301	2872	1883
302	2881	1873
303	2889	1863
304	2899	1853
305	2907	1843
306	2916	1833
307	2924	1823
308	2934	1813
309	2944	1804
310	2953	1794
311	2962	1785
312	2971	1775
313	2980	1765
314	2988	1755
315	2998	1745
316	3006	1735
317	3016	1726
318	3025	1716
319	3034	1706
320	3043	1697
321	3051	1686
322	3061	1677
323	3069	1667
324	3079	1658
325	3087	1647
326	3096	1638
327	3106	1628
328	3115	1619
329	3126	1610
330	3192	1630
331	3207	1622
332	3226	1617
333	3234	1607
334	3243	1597
